"","성별","연도","교육","직종","지역","월급","나이","연령대"
"245","여",2000,7,NA,1,NA,21,"초년"
"246","남",2002,5,NA,1,NA,19,"초년"
"247","남",1964,7,312,1,NA,57,"노년"
"248","여",1962,8,247,1,50,59,"노년"
"249","남",1947,6,NA,1,NA,74,"노년"
"250","여",1958,5,422,1,NA,63,"노년"
"251","남",1976,6,941,2,NA,45,"중년"
"252","여",1981,6,254,2,150,40,"중년"
"253","남",2008,3,NA,2,NA,13,"초년"
"254","여",1951,3,NA,1,NA,70,"노년"
"255","여",1933,2,NA,1,NA,88,"노년"
"256","여",1936,4,NA,2,NA,85,"노년"
"257","남",1958,5,873,1,NA,63,"노년"
"258","여",1962,5,NA,1,NA,59,"노년"
"259","남",1988,6,245,1,220,33,"중년"
"260","남",1977,6,441,7,500,44,"중년"
"261","여",1977,5,243,7,220,44,"중년"
"262","여",2007,3,NA,7,NA,14,"초년"
"263","여",2009,3,NA,7,NA,12,"초년"
"264","남",2011,3,NA,7,NA,10,"초년"
"265","남",1979,6,222,2,290,42,"중년"
"266","여",1979,6,NA,2,NA,42,"중년"
"267","남",2007,3,NA,2,NA,14,"초년"
"268","여",2013,1,NA,2,NA,8,"초년"
"269","여",1946,3,NA,2,NA,75,"노년"
"270","남",1944,4,873,1,NA,77,"노년"
"271","여",1952,4,NA,1,NA,69,"노년"
"272","남",1972,5,521,1,NA,49,"중년"
"273","남",1944,5,NA,2,NA,77,"노년"
"274","여",1952,4,NA,2,NA,69,"노년"
"275","남",1946,5,942,1,160,75,"노년"
"276","여",1948,5,NA,1,NA,73,"노년"
"277","여",1936,5,NA,1,NA,85,"노년"
"278","남",1935,7,NA,1,NA,86,"노년"
"279","여",1942,4,NA,1,NA,79,"노년"
"280","남",1977,7,510,2,521,44,"중년"
"281","여",1979,5,312,2,200,42,"중년"
"282","남",2006,4,NA,2,NA,15,"초년"
"283","여",2008,3,NA,2,NA,13,"초년"
"284","여",1930,3,NA,1,NA,91,"노년"
"285","남",1965,5,762,1,NA,56,"노년"
"286","여",1970,5,NA,1,NA,51,"노년"
"287","여",1995,6,422,1,292,26,"초년"
"288","여",2001,6,NA,1,NA,20,"초년"
"289","여",1940,4,NA,1,NA,81,"노년"
"290","여",1943,2,NA,1,NA,78,"노년"
"291","남",1938,4,941,1,15,83,"노년"
"292","여",1946,3,NA,1,NA,75,"노년"
"293","남",1954,7,873,1,NA,67,"노년"
"294","여",1958,5,NA,1,NA,63,"노년"
"295","남",1984,7,921,1,NA,37,"중년"
"296","여",1937,3,999,1,27,84,"노년"
"297","여",1962,4,951,1,120,59,"노년"
"298","여",1941,3,710,1,112,80,"노년"
"299","남",1968,4,999,1,NA,53,"노년"
"300","여",1953,3,951,1,60,68,"노년"
"301","남",1974,7,222,1,628,47,"중년"
"302","여",1979,7,313,1,292,42,"중년"
"303","여",2007,3,NA,1,NA,14,"초년"
"304","여",1954,3,952,7,150,67,"노년"
"305","남",1944,3,NA,1,NA,77,"노년"
"306","여",1944,3,NA,1,NA,77,"노년"
"307","남",1952,3,153,1,170,69,"노년"
"308","여",1956,3,NA,1,NA,65,"노년"
"309","여",1984,5,952,5,100,37,"중년"
"310","남",1983,6,761,5,437,38,"중년"
"311","남",2010,3,NA,5,NA,11,"초년"
"312","여",2013,1,NA,5,NA,8,"초년"
"313","여",1948,5,531,1,NA,73,"노년"
"314","여",1942,5,NA,1,NA,79,"노년"
"315","여",1965,5,159,1,417,56,"노년"
"316","여",1989,8,312,1,277,32,"중년"
"317","여",1994,7,NA,1,NA,27,"초년"
"318","남",1959,5,873,1,NA,62,"노년"
"319","여",1941,3,NA,1,NA,80,"노년"
"320","남",1940,3,NA,1,NA,81,"노년"
"321","남",1932,4,NA,1,NA,89,"노년"
"322","여",1936,3,NA,1,NA,85,"노년"
"323","남",1960,5,942,1,210,61,"노년"
"324","여",1963,5,NA,1,NA,58,"노년"
"325","여",1990,7,283,1,292,31,"중년"
"326","남",1963,5,873,6,NA,58,"노년"
"327","여",1990,5,281,6,53,31,"중년"
"328","여",2011,3,NA,6,NA,10,"초년"
"329","여",2013,1,NA,6,NA,8,"초년"
"330","남",1977,7,411,1,554,44,"중년"
"331","여",1978,8,243,1,633,43,"중년"
"332","여",2006,4,NA,1,NA,15,"초년"
"333","여",1950,3,NA,1,NA,71,"노년"
"334","남",2008,3,NA,1,NA,13,"초년"
"335","남",2016,1,NA,1,NA,5,"초년"
"336","여",1980,6,NA,7,NA,41,"중년"
"337","남",1980,6,730,7,NA,41,"중년"
"338","남",2010,3,NA,7,NA,11,"초년"
"339","남",2013,1,NA,7,NA,8,"초년"
"340","여",2016,1,NA,7,NA,5,"초년"
"341","남",1948,5,782,1,150,73,"노년"
"342","여",1950,3,941,1,30,71,"노년"
"343","남",1977,6,223,1,300,44,"중년"
"344","여",1976,6,NA,1,NA,45,"중년"
"345","남",1973,7,231,1,500,48,"중년"
"346","남",2008,3,NA,1,NA,13,"초년"
"347","남",1968,5,721,1,NA,53,"노년"
"348","여",1966,5,721,1,350,55,"노년"
"349","여",2000,7,953,1,NA,21,"초년"
"350","남",1959,3,910,1,NA,62,"노년"
"351","여",1964,3,951,1,100,57,"노년"
"352","여",1986,7,312,1,250,35,"중년"
"353","여",1988,5,313,1,250,33,"중년"
"354","남",1939,4,NA,2,NA,82,"노년"
"355","여",1940,3,NA,2,NA,81,"노년"
"356","남",1945,7,NA,1,NA,76,"노년"
"357","여",1949,5,NA,1,NA,72,"노년"
"358","남",1973,7,259,1,290,48,"중년"
"359","여",1969,7,259,1,500,52,"노년"
"360","여",2007,3,NA,1,NA,14,"초년"
"361","남",2009,3,NA,1,NA,12,"초년"
"362","남",1936,5,NA,1,NA,85,"노년"
"363","여",1946,5,NA,1,NA,75,"노년"
"364","여",1957,4,722,1,190,64,"노년"
"365","여",1987,7,NA,1,NA,34,"중년"
"366","남",1991,7,312,1,205,30,"중년"
"367","남",1955,8,251,1,50,66,"노년"
"368","여",1960,7,421,1,200,61,"노년"
"369","남",1989,7,312,3,291,32,"중년"
"370","남",1957,4,532,1,NA,64,"노년"
"371","남",1952,4,NA,1,NA,69,"노년"
"372","남",1960,4,910,1,270,61,"노년"
"373","여",1960,4,441,1,106,61,"노년"
"374","여",1993,5,NA,1,NA,28,"초년"
"375","여",1988,6,NA,2,NA,33,"중년"
"376","남",1984,7,441,2,438,37,"중년"
"377","여",2018,1,NA,2,NA,3,"초년"
"378","여",1971,8,281,1,208,50,"중년"
"379","여",1976,7,312,2,603,45,"중년"
"380","남",1973,8,235,2,1018,48,"중년"
"381","남",1950,5,873,1,NA,71,"노년"
"382","여",1953,4,951,1,50,68,"노년"
"383","남",1982,8,252,1,458,39,"중년"
"384","여",1987,7,399,1,410,34,"중년"
"385","남",2016,1,NA,1,NA,5,"초년"
"386","남",2019,1,NA,1,NA,2,"초년"
"387","여",1937,3,NA,1,NA,84,"노년"
"388","남",1938,4,NA,1,NA,83,"노년"
"389","여",1963,6,284,1,NA,58,"노년"
"390","여",1992,7,284,1,NA,29,"초년"
"391","여",1995,5,399,1,250,26,"초년"
"392","남",1954,3,NA,1,NA,67,"노년"
"393","여",1994,5,314,2,67,27,"초년"
"394","남",1994,7,NA,2,NA,27,"초년"
"395","여",2016,1,NA,2,NA,5,"초년"
"396","여",2018,1,NA,2,NA,3,"초년"
"397","남",1965,5,783,1,200,56,"노년"
"398","여",1969,5,NA,1,NA,52,"노년"
"399","여",1993,6,422,1,180,28,"초년"
"400","여",2000,6,NA,1,NA,21,"초년"
"401","여",1992,7,NA,1,NA,29,"초년"
"402","남",1986,6,753,1,250,35,"중년"
"403","남",1970,5,873,1,320,51,"노년"
"404","여",1971,5,722,1,200,50,"중년"
"405","여",2001,5,NA,1,NA,20,"초년"
"406","여",2003,5,NA,1,NA,18,"초년"
"407","여",1944,5,941,1,10,77,"노년"
"408","여",1950,3,NA,1,NA,71,"노년"
"409","남",1971,5,149,1,412,50,"중년"
"410","여",1936,7,NA,1,NA,85,"노년"
